,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptAgreementApprovalRequest,Grants permission to users to approve an incoming subscription request (for providers who provide products that require subscription verification),Write,,,
1,AcceptAgreementRequest,Grants permission to users to accept their agreement requests. Note that this action is not applicable to Marketplace purchases,Write,,,
2,CancelAgreement,Grants permission to users to cancel their agreements. Note that this action is not applicable to Marketplace purchases,Write,,,
3,CancelAgreementRequest,Grants permission to users to cancel pending subscription requests for products that require subscription verification,Write,,,
4,CreateAgreementRequest,Grants permission to users to create an agreement request. Note that this action is not applicable to Marketplace purchases,Write,,,
5,DescribeAgreement,Grants permission to users to describe the metadata about the agreement,Read,,,
6,GetAgreementApprovalRequest,Grants permission to users to view the details of their incoming subscription requests (for providers who provide products that require subscription verification),Read,,,
7,GetAgreementRequest,Grants permission to users to view the details of their subscription requests for data products that require subscription verification,Read,,,
8,GetAgreementTerms,Grants permission to users to get a list of terms for an agreement,List,,,
9,ListAgreementApprovalRequests,Grants permission to users to list their incoming subscription requests (for providers who provide products that require subscription verification),List,,,
10,ListAgreementRequests,Grants permission to users to list their subscription requests for products that require subscription verification,List,,,
11,RejectAgreementApprovalRequest,Grants permission to users to decline an incoming subscription requests (for providers who provide products that require subscription verification),Write,,,
12,SearchAgreements,Grants permission to users to search their agreements,List,,,
13,Subscribe,Grants permission to users to subscribe to AWS Marketplace products. Includes the ability to send a subscription request for products that require subscription verification. Includes the ability to enable auto-renewal for an existing subscription,Write,,,
14,Unsubscribe,Grants permission to users to remove subscriptions to AWS Marketplace products. Includes the ability to disable auto-renewal for an existing subscription,Write,,,
15,UpdateAgreementApprovalRequest,"Grants permission to users to make changes to an incoming subscription request, including the ability to delete the prospective subscriber's information (for providers who provide products that require subscription verification)",Write,,,
16,ViewSubscriptions,Grants permission to users to see their account's subscriptions,List,,,
